port_cluster,centroid_lat,centroid_lon,n_stay_points,avg_duration_hours,matched_port_name,distance_to_port_km,is_validated_port
32.0,27.62438519689818,-83.03801446932492,517.0,37.47840103159252,,44.39836699749843,False
282.0,29.788523497507143,-93.33353002788064,510.0,20.735294117647054,,38.37546686039277,False
93.0,31.831769751767297,-116.64391070778792,467.0,28.70413990007137,ENSENADA,4.006954196497969,True
309.0,41.1531926117017,-71.08043875669992,458.0,22.28056768558952,,43.96657434872929,False
184.0,41.68215957546443,-83.47482212420185,440.0,37.30227272727273,TOLEDO,2.096152857608984,True
271.0,28.867458555421408,-88.05775058331733,439.0,8.946848899012908,,172.03547371417903,False
118.0,28.394706395532687,-80.59463976069179,439.0,48.80865603644647,,34.01521245926623,False
41.0,30.017940728944215,-93.98571867374714,433.0,123.87990762124711,PORT NECHES,3.9759992039882923,True
295.0,29.04663114605721,-88.95878097476476,428.0,5.803348909657322,,85.42663722263178,False
166.0,47.01168796688546,-91.67368748272256,426.0,13.221439749608765,TWO HARBORS,1.879262091863583,True
111.0,48.34593749477576,-123.35296869294602,410.0,19.77439024390244,VICTORIA HARBOR,9.97323124683223,True
96.0,42.35771513810634,-71.0339130855177,383.0,30.092689295039165,BOSTON,1.5758822282772769,True
101.0,48.84552314713514,-123.44029722471566,381.0,21.430446194225723,GANGES,3.188167083927821,True
43.0,27.631650629616647,-82.56263052771406,379.0,51.52330694810905,PORT MANATEE,0.4394476859910485,True
270.0,28.344870328212384,-88.26633138682242,376.0,11.072695035460992,,181.04225770547203,False
77.0,26.09200459709672,-97.03683246039172,375.0,68.98222222222222,,16.32349616765148,False
147.0,13.457141141756404,144.66293470062766,375.0,46.21022222222222,APRA HARBOR,5.066172080006357,True
245.0,29.34160333800509,-89.06231525026651,355.0,7.135211267605634,,62.18351756393189,False
179.0,42.94550717700914,-82.43465124247815,354.0,30.626647834274955,SARNIA,4.453340114677222,True
122.0,30.154037197684502,-91.03747322498484,344.0,48.20881782945736,,21.464519039587824,False
194.0,45.41390691589287,-83.7841499770948,336.0,13.660714285714286,CALCITE,0.3134622742800806,True
68.0,17.69508907856385,-64.75435432393137,333.0,7.313313313313314,LIMETREE BAY,0.7148126378790898,True
15.0,27.817853861183416,-97.4318150075811,331.0,72.80614300100704,CORPUS CHRISTI,3.1316381431423634,True
104.0,38.04333839627385,-122.14820853456476,326.0,48.350204498977504,BENICIA,0.7571656622115289,True
74.0,30.425027681815585,-91.20605870316892,317.0,57.55415352260778,BATON ROUGE,3.5295056044374515,True
426.0,27.93697115953113,-92.54766183747093,314.0,9.019108280254777,,189.84604422768928,False
269.0,38.017516223128645,-90.09330870577756,312.0,17.647970085470085,,78.29647677420462,False
16.0,21.415920173140663,-89.6754140759982,309.0,9.712513484358144,,14.770825803288968,False
290.0,44.14263767455581,-68.44931797526462,308.0,27.768398268398265,MINTURN,0.8204599204918628,True
235.0,41.64374354074916,-87.14770282796694,303.0,28.408690869086904,,15.719198031001346,False
409.0,27.366859161645603,-94.46925018592052,295.0,10.587570621468927,,195.35610783543467,False
36.0,30.176856046598147,-85.73136867541596,294.0,66.60260770975056,PANAMA CITY,9.199225397287226,True
449.0,29.18915435444452,-94.04701056679372,290.0,3.7482758620689656,,61.20061542337131,False
310.0,28.41971005398932,-89.03665567375046,284.0,10.793427230046948,,108.63883614939442,False
5.0,29.850495084028864,-93.95294777458544,282.0,57.6660756501182,PORT ARTHUR,2.322214946650329,True
264.0,28.48742346413528,-91.4484142575541,268.0,7.348880597014926,,73.27485356155849,False
180.0,43.74617639369051,-81.73156357120081,266.0,32.367794486215544,GODERICH,0.44829337870137925,True
233.0,46.57614589429171,-87.38528300862836,260.0,14.525,PRESQUE ISLE,1.0644930647928064,True
143.0,27.387790427148037,-90.22927220496094,257.0,14.523346303501944,,126.84442696123477,False
14.0,27.81761105471885,-96.87832600133684,245.0,46.910204081632656,,16.972325764880882,False
121.0,41.79120695173468,-71.38367957677463,242.0,48.61363636363637,PROVIDENCE,1.6692626529059291,True
167.0,42.754890570631744,-80.10220412270287,236.0,13.774011299435028,PORT DOVER,8.586523710411324,True
215.0,29.66016590383242,-91.1241775425875,236.0,132.88488700564972,MORGAN CITY,9.972709433254161,True
402.0,28.960690453203835,-90.94965794781017,234.0,18.01638176638177,,61.78620032153265,False
211.0,29.56166416033983,-90.68884890259147,230.0,102.75724637681158,,52.48006425967864,False
69.0,30.348348782192524,-88.52103464844184,229.0,92.98617176128091,PASCAGOULA,4.3825922348110815,True
65.0,30.197077923305763,-93.2837677511103,229.0,80.26491994177583,LAKE CHARLES,3.908236420093072,True
90.0,47.98235086898079,-122.23025278118844,228.0,24.201023391812864,EVERETT,2.2076050265876024,True
57.0,30.35587439493805,-89.09265265250244,227.0,16.66813509544787,GULFPORT,1.1074114619260507,True
